molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL5885838,Cc1nc2n(c(=O)c1CCN1CCN(c3cc(F)cc4sccc34)CC1)CCCC2,13.6,
CHEMBL4117823,Cc1nc2n(c(=O)c1CCN1CCC(c3cccc4sccc34)CC1)CCCC2,5.12,
CHEMBL5836576,O=c1ccc2ccc(CCN3CCN(c4cc(F)cc5sccc45)CC3)cc2[nH]1,1900.0,
CHEMBL6054287,COc1ccc2[nH]cc(CCN3CCN(c4cccc5sccc45)CC3)c2c1,25.5,
CHEMBL5874145,CC(=O)Nc1nc2cc(CCN3CCN(c4cccc5sccc45)CC3)ccc2s1,75.0,
CHEMBL5925470,O=C1N[C@@H]2[C@@H](CS[C@@H]2CCCCCN2CCN(c3cccc4sccc34)CC2)N1,16.7,
CHEMBL3652594,Cn1ncc(Cl)c1-c1cc(NC(=O)c2ccc(F)c(C(F)(F)F)c2)ccc1OCCN,1.0,
CHEMBL5222105,CN1CCC[C@@H]1Cc1c[nH]c2cccc(F)c12,2750.0,
CHEMBL5221172,COc1cccc2[nH]cc(C[C@H]3CCCN3C)c12,2750.0,
CHEMBL83220,CN(CC1CC2c3ccccc3Cc3ccccc3N2O1)C(=O)C(F)(F)F,1000.0,
CHEMBL79838,Clc1cccc(N2CCN(CC3CC4c5ccccc5Cc5ccccc5N4O3)CC2)c1,1000.0,
CHEMBL313189,CN(C)CCC1CC2c3ccccc3Cc3ccccc3N2O1,91.2,
CHEMBL6437,CN1CCN2c3ccccc3Cc3ccccc3C2C1,10.47,
CHEMBL315772,CN(C)CC1CC2c3ccccc3Cc3ccc(Cl)cc3N2O1,3.467,
CHEMBL141209,COC1Cc2ccccc2C2(CCN(Cc3ccccc3)CC2)O1,6600.0,
CHEMBL116735,O=C(CCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1030.0,
